RefundID,RefundQuantity,Reason,Status,RefundDate,TransactionRef
RE7052,3,Item didn't fit properly,Waiting for Approval,2/9/2021,
RE7053,1,Item didn't fit properly,Rejected,19/5/2022,
RE7054,2,Changed mind about purchase,Rejected,10/2/2019,
RE7055,9,Wrong color received,Rejected,17/1/2022,
RE7056,7,Item didn't match online photos,Processing,9/1/2021,TR7587
RE7057,2,Item not as described,Completed,20/11/2019,TR5766
RE7058,4,Received damaged item,Processing,9/1/2023,TR5769
RE7059,1,Item not as described,Approved,19/7/2020,
RE7060,6,Item not as described,Waiting for Approval,2/8/2022,
RE7061,3,Received damaged item,Approved,11/10/2019,
RE7062,3,Wrong color received,On Hold,26/8/2023,TR6805
RE7063,3,Wrong color received,Pending,2/11/2022,TR1106
RE7064,1,Received damaged item,Pending,4/4/2022,TR8149
RE7065,4,Received wrong size,Completed,24/6/2023,TR2002
RE7066,1,Item didn't match online photos,Rejected,11/6/2023,
RE7067,1,Item didn't match online photos,Processing,26/10/2022,TR3859
RE7068,2,Poor quality material,On Hold,13/5/2020,TR2824
RE7069,3,Item not as described,Pending,13/9/2021,TR4276
RE7070,4,Item not as described,Rejected,17/7/2019,
RE7071,5,Item didn't meet expectations,Processing,14/5/2023,TR4529
RE7072,2,Poor quality material,Cancelled,20/7/2021,
RE7073,4,Poor quality material,Approved,31/7/2020,
RE7074,7,Item didn't fit properly,On Hold,30/5/2019,TR2053
RE7075,1,Item didn't match online photos,Waiting for Approval,9/5/2020,
RE7076,1,Item not as described,On Hold,10/11/2022,TR8094
RE7077,2,Item not as described,Rejected,16/12/2021,
RE7078,1,Item arrived late,Waiting for Approval,18/5/2022,
RE7079,8,Item didn't match online photos,Cancelled,29/9/2021,
RE7080,2,Item didn't meet expectations,Approved,7/6/2019,
RE7081,1,Item didn't meet expectations,Waiting for Approval,3/10/2022,
RE7082,3,Received damaged item,Rejected,8/12/2023,
RE7083,1,Received wrong size,Completed,13/9/2020,TR6485
RE7084,8,Received wrong size,Rejected,16/5/2020,
RE7085,2,Item didn't fit properly,Waiting for Approval,7/9/2020,
RE7086,4,Item didn't match online photos,Cancelled,2/4/2020,
RE7087,2,Poor quality material,Pending,30/12/2020,TR4155
RE7088,2,Item didn't match online photos,Waiting for Approval,30/5/2020,
RE7089,1,Received wrong size,Processing,14/10/2019,TR2488
RE7090,1,Item didn't fit properly,Waiting for Approval,7/12/2023,
RE7091,1,Item didn't meet expectations,On Hold,9/11/2020,TR6712
RE7092,1,Received damaged item,Rejected,31/7/2020,
RE7093,1,Poor quality material,Waiting for Approval,22/7/2020,
RE7094,8,Item didn't match online photos,Completed,8/7/2022,TR2420
RE7095,3,Item not as described,Completed,6/11/2021,TR5961
RE7096,2,Item didn't match online photos,Cancelled,29/3/2022,
RE7097,6,Wrong color received,Cancelled,26/1/2022,
RE7098,1,Changed mind about purchase,Processing,23/4/2023,TR3382
RE7099,1,Changed mind about purchase,Waiting for Approval,8/6/2020,
RE7100,4,Received wrong size,Processing,20/3/2021,TR3726
RE7101,7,Item arrived late,Pending,2/1/2023,TR1075
RE7102,8,Wrong color received,Processing,3/2/2022,TR1094
