ProductID,InvoiceNumber,RefundID,Quantity
P6104,IN6156,RE7263,3
P6132,IN6233,,9
P6204,IN6146,,4
P6068,IN6212,,5
P6045,IN6153,,3
P6205,IN6228,,6
P6230,IN6288,,5
P6065,IN6215,,4
P6091,IN6133,,5
P6192,IN6142,,3
P6145,IN6118,,3
P6048,IN6252,,9
P6092,IN6204,RE7293,9
P6112,IN6259,RE7285,5
P6128,IN6207,,2
P6199,IN6280,,4
P6146,IN6263,RE7300,8
P6143,IN6137,,9
P6110,IN6256,,10
P6089,IN6252,,4
P6105,IN6225,,6
P6087,IN6203,,9
P6226,IN6202,,10
P6065,IN6134,,10
P6085,IN6201,,2
P6151,IN6178,,8
P6048,IN6199,,10
P6164,IN6238,RE7261,8
P6120,IN6157,,9
P6037,IN6227,,4
P6121,IN6197,,3
P6134,IN6125,,4
P6147,IN6221,,6
P6156,IN6215,,10
P6165,IN6277,,4
P6087,IN6103,,7
P6121,IN6100,RE7322,10
P6149,IN6127,,4
P6179,IN6237,,6
P6088,IN6213,,8
P6083,IN6278,,5
P6196,IN6235,,7
P6051,IN6210,RE7308,3
P6177,IN6160,RE7309,8
P6174,IN6091,,7
P6058,IN6193,,6
P6036,IN6161,,5
P6155,IN6184,,3
P6150,IN6123,,5
P6047,IN6109,,8
P6212,IN6219,,3
P6104,IN6186,,3
P6115,IN6094,,7
P6175,IN6220,,1
P6148,IN6184,,7
P6165,IN6148,,10
P6092,IN6116,RE7315,4
P6207,IN6132,,10
P6102,IN6255,,9
P6229,IN6182,RE7255,6
P6163,IN6234,,7
P6046,IN6147,,4
P6033,IN6240,RE7332,5
P6122,IN6143,RE7331,10
P6192,IN6268,RE7312,2
P6040,IN6200,RE7326,2
P6038,IN6105,,6
P6182,IN6154,,1
P6132,IN6200,,5
P6203,IN6288,,3
P6066,IN6151,,5
P6226,IN6208,,10
P6223,IN6189,,9
P6197,IN6227,RE7259,9
P6056,IN6120,RE7278,5
P6088,IN6249,,7
P6153,IN6168,RE7289,10
P6038,IN6277,,1
P6075,IN6117,RE7271,6
P6056,IN6253,,9
P6098,IN6139,,8
P6078,IN6162,RE7281,5
P6045,IN6256,RE7294,4
P6173,IN6251,,6
P6114,IN6269,,1
P6128,IN6089,RE7297,3
P6057,IN6172,,10
P6214,IN6185,,5
P6057,IN6239,,1
P6159,IN6164,,10
P6050,IN6286,,7
P6113,IN6270,,5
P6073,IN6261,,8
P6126,IN6160,,7
